@relation att_3b01bcb8_0b14_4abf_b6f2_c1bfd384ba69

@attribute state {Bihar,Chhattisgarh,Arunachal_Pradesh,Assam,Andhra_Pradesh,Delhi,Gujarat,Haryana,Karnataka,'Madhya Pradesh',Maharashtra,Kerala,Odisha,Punjab,Manipur,Rajasthan,TamilNadu,Telangana,Uttar_Pradesh,West_Bengal,Uttarakhand,Chandigarh,Mizoram,Nagaland,Puducherry,Tripura,Jharkhand,Jammu_and_Kashmir,Meghalaya,'Himachal Pradesh'}
@attribute city string
@attribute pollutant_min numeric
@attribute pollutant_max numeric
@attribute pollutant_avg numeric

@data
Delhi,Delhi,0.16666666666666666,0.11076923076923077,0.14
Delhi,Delhi,0.030303030303030304,0.04,0.036
Delhi,Delhi,0.09848484848484848,1.0,0.676
Gujarat,Ahmedabad,0.14393939393939395,0.30153846153846153,0.296
Karnataka,Mangalore,0.17424242424242425,0.07076923076923076,0.092
Karnataka,Chamarajanagar,0.15151515151515152,0.1476923076923077,0.148
Karnataka,Davanagere,0.13636363636363635,0.05846153846153846,0.072
Karnataka,Bengaluru,0.07575757575757576,0.06153846153846154,0.06
Karnataka,Bengaluru,0.06818181818181818,0.28615384615384615,0.264
'Madhya Pradesh',Bhopal,0.09848484848484848,0.1076923076923077,0.116
'Madhya Pradesh',Bhopal,0.16666666666666666,0.2923076923076923,0.288
Karnataka,Yadgir,0.12878787878787878,0.05846153846153846,0.072
Kerala,Thiruvananthapuram,0.26515151515151514,0.11076923076923077,0.14
'Madhya Pradesh',Indore,0.11363636363636363,0.23076923076923078,0.236
'Madhya Pradesh',Jabalpur,0.09848484848484848,0.19384615384615383,0.176
Karnataka,Haveri,0.25,0.10153846153846154,0.132
Maharashtra,Amravati,0.12878787878787878,0.22153846153846155,0.184
Maharashtra,Amravati,0.007575757575757576,0.13230769230769232,0.124
Maharashtra,Aurangabad,0.045454545454545456,0.28307692307692306,0.244
Maharashtra,Aurangabad,0.4090909090909091,0.36,0.4
'Madhya Pradesh',Pithampur,0.29545454545454547,0.35384615384615387,0.352
'Madhya Pradesh',Satna,0.15151515151515152,0.09230769230769231,0.104
Maharashtra,Chandrapur,0.21212121212121213,0.16307692307692306,0.132
Maharashtra,Dhule,0.08333333333333333,0.24,0.224
Maharashtra,Mumbai,0.045454545454545456,0.16307692307692306,0.152
Maharashtra,Mumbai,0.0,0.3261538461538461,0.124
Maharashtra,Latur,0.045454545454545456,0.20307692307692307,0.184
Maharashtra,Badlapur,0.06818181818181818,0.28615384615384615,0.216
'Madhya Pradesh',Mandideep,0.1590909090909091,0.08923076923076922,0.1
'Madhya Pradesh',Ujjain,0.44696969696969696,0.2276923076923077,0.252
Maharashtra,Pimpri-Chinchwad,0.022727272727272728,0.44,0.384
Maharashtra,Pune,0.015151515151515152,0.19692307692307692,0.124
Maharashtra,Pune,0.0,0.52,0.34
Maharashtra,Virar,0.24242424242424243,0.3230769230769231,0.292
Meghalaya,Shillong,0.1590909090909091,0.21846153846153846,0.256
Maharashtra,Thane,0.21212121212121213,0.40923076923076923,0.328
Maharashtra,Thane,0.12878787878787878,0.29846153846153844,0.268
Maharashtra,Mumbai,0.2803030303030303,0.11384615384615385,0.148
Maharashtra,Mumbai,0.022727272727272728,0.015384615384615385,0.016
Odisha,Angul,0.03787878787878788,0.3723076923076923,0.304
Maharashtra,Nashik,0.007575757575757576,0.27692307692307694,0.272
Rajasthan,Bikaner,0.06060606060606061,0.3046153846153846,0.26
Rajasthan,Chittorgarh,0.06818181818181818,0.4,0.356
Rajasthan,Banswara,0.3333333333333333,0.31076923076923074,0.348
Rajasthan,Baran,0.09090909090909091,0.3046153846153846,0.3
Rajasthan,Barmer,0.3181818181818182,0.2676923076923077,0.312
Odisha,Barbil,0.0,0.07384615384615385,0.064
Odisha,Bhubaneswar,0.03787878787878788,0.19384615384615383,0.176
Rajasthan,Pali,0.06060606060606061,0.1753846153846154,0.164
Rajasthan,Jaipur,0.06060606060606061,0.24615384615384617,0.224
Odisha,Cuttack,0.015151515151515152,0.7353846153846154,0.712
Rajasthan,Jhunjhunu,0.022727272727272728,0.30153846153846153,0.32
Odisha,Talcher,0.045454545454545456,0.16615384615384615,0.152
Rajasthan,Sirohi,0.20454545454545456,0.3261538461538461,0.328
TamilNadu,Vellore,0.5,0.22153846153846155,0.276
TamilNadu,Ooty,0.030303030303030304,0.015384615384615385,0.016
TamilNadu,Palkalaiperur,0.06818181818181818,0.027692307692307693,0.036
TamilNadu,Perundurai,0.0,0.015384615384615385,0.012
TamilNadu,Chennai,0.12878787878787878,0.07076923076923076,0.08
TamilNadu,Coimbatore,0.030303030303030304,0.018461538461538463,0.02
TamilNadu,Karur,0.06060606060606061,0.12615384615384614,0.048
TamilNadu,Madurai,0.03787878787878788,0.015384615384615385,0.02
Uttar_Pradesh,Ghaziabad,0.0,0.13230769230769232,0.092
Uttar_Pradesh,Ghaziabad,0.0,0.10461538461538461,0.088
TamilNadu,Cuddalore,0.022727272727272728,0.009230769230769232,0.012
Uttar_Pradesh,'Greater Noida',0.007575757575757576,0.11076923076923077,0.1
Uttar_Pradesh,Firozabad,0.11363636363636363,0.06153846153846154,0.068
Rajasthan,Tonk,0.045454545454545456,0.18461538461538463,0.148
Uttar_Pradesh,Lucknow,0.06818181818181818,0.09230769230769231,0.088
Uttar_Pradesh,Lucknow,0.16666666666666666,0.07384615384615385,0.092
Uttar_Pradesh,Lucknow,0.03787878787878788,0.13846153846153847,0.128
Uttar_Pradesh,Lucknow,0.09090909090909091,0.07384615384615385,0.072
Uttar_Pradesh,Lucknow,0.007575757575757576,0.24307692307692308,0.188
Uttar_Pradesh,Noida,0.06818181818181818,0.07384615384615385,0.08
Uttarakhand,Rishikesh,0.030303030303030304,0.12,0.084
West_Bengal,Asansol,0.022727272727272728,0.24615384615384617,0.216
West_Bengal,Howrah,0.007575757575757576,0.20615384615384616,0.148
Bihar,Katihar,0.12878787878787878,0.08,0.092
Andhra_Pradesh,Vijayawada,0.08333333333333333,0.055384615384615386,0.06
Andhra_Pradesh,Visakhapatnam,0.0,0.08307692307692308,0.024
Bihar,Purnia,0.19696969696969696,0.08615384615384615,0.112
Bihar,Rajgir,0.24242424242424243,0.11076923076923077,0.132
Bihar,Samastipur,0.05303030303030303,0.024615384615384615,0.032
Assam,Silchar,0.0,0.003076923076923077,0.0
Assam,Sivasagar,0.015151515151515152,0.03076923076923077,0.016
Bihar,Begusarai,0.0,0.018461538461538463,0.008
Bihar,Muzaffarpur,0.08333333333333333,0.06153846153846154,0.06
Bihar,Siwan,0.0,0.021538461538461538,0.016
Andhra_Pradesh,Kadapa,0.36363636363636365,0.1476923076923077,0.192
Assam,Guwahati,0.06818181818181818,0.12923076923076923,0.116
Assam,Nalbari,0.08333333333333333,0.12307692307692308,0.116
Gujarat,Ahmedabad,0.08333333333333333,0.2276923076923077,0.232
Chhattisgarh,Bilaspur,0.2727272727272727,0.16923076923076924,0.152
Chhattisgarh,Korba,0.022727272727272728,0.018461538461538463,0.02
Delhi,Delhi,0.12121212121212122,0.1723076923076923,0.176
Delhi,Delhi,0.09090909090909091,0.11692307692307692,0.124
Delhi,Delhi,0.15151515151515152,0.1476923076923077,0.14
Delhi,Delhi,0.08333333333333333,0.21846153846153846,0.148
Delhi,Delhi,0.045454545454545456,0.14153846153846153,0.136
